Running on host: n-62-11-15
Tue Dec  2 11:35:08 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:D8:00.0 Off |                    0 |
| N/A   40C    P0             27W /  250W |       0MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch version: 2.8.0+cu128
cuda available: True device count: 1
current device: 0 name: Tesla V100-PCIE-32GB
Loading AnnData files...
Data loaded.
Filtered zero-expression features: genes kept 45244/45263, isoforms kept 161990/162009
Using whole dataset: train 9941, val 6958, test 2983
Epoch 001 | train 7.7168 | val 2.9442 | lr 2.00e-04
Epoch 142 | train 0.7446 | val 0.6566 | lr 2.00e-04
Epoch 143 | train 0.7447 | val 0.6691 | lr 2.00e-04
Epoch 144 | train 0.7436 | val 0.6613 | lr 2.00e-04
Epoch 145 | train 0.7426 | val 0.6598 | lr 2.00e-04
Epoch 146 | train 0.7444 | val 0.6597 | lr 2.00e-04
Epoch 147 | train 0.7455 | val 0.6557 | lr 2.00e-04
Epoch 148 | train 0.7434 | val 0.6599 | lr 2.00e-04
Epoch 149 | train 0.7417 | val 0.6630 | lr 2.00e-04
Epoch 150 | train 0.7409 | val 0.6551 | lr 2.00e-04
Epoch 151 | train 0.7432 | val 0.6637 | lr 2.00e-04
Epoch 152 | train 0.7439 | val 0.6605 | lr 2.00e-04
Epoch 153 | train 0.7453 | val 0.6609 | lr 2.00e-04
Epoch 154 | train 0.7428 | val 0.6606 | lr 2.00e-04
Epoch 155 | train 0.7430 | val 0.6542 | lr 2.00e-04
Epoch 156 | train 0.7434 | val 0.6574 | lr 2.00e-04
Epoch 157 | train 0.7419 | val 0.6577 | lr 2.00e-04
Epoch 158 | train 0.7433 | val 0.6555 | lr 2.00e-04
Epoch 159 | train 0.7413 | val 0.6549 | lr 2.00e-04
Epoch 160 | train 0.7413 | val 0.6562 | lr 2.00e-04
Epoch 161 | train 0.7436 | val 0.6558 | lr 2.00e-04
Epoch 162 | train 0.7410 | val 0.6573 | lr 2.00e-04
Epoch 163 | train 0.7406 | val 0.6579 | lr 2.00e-04
Epoch 164 | train 0.7398 | val 0.6527 | lr 2.00e-04
Epoch 165 | train 0.7421 | val 0.6617 | lr 2.00e-04
Epoch 166 | train 0.7399 | val 0.6547 | lr 2.00e-04
Epoch 167 | train 0.7397 | val 0.6560 | lr 2.00e-04
Epoch 168 | train 0.7412 | val 0.6515 | lr 2.00e-04
Epoch 169 | train 0.7391 | val 0.6534 | lr 2.00e-04
Epoch 170 | train 0.7407 | val 0.6548 | lr 2.00e-04
Epoch 171 | train 0.7404 | val 0.6540 | lr 2.00e-04
Epoch 172 | train 0.7388 | val 0.6503 | lr 2.00e-04
Epoch 173 | train 0.7399 | val 0.6532 | lr 2.00e-04
Epoch 174 | train 0.7396 | val 0.6520 | lr 2.00e-04
Epoch 175 | train 0.7401 | val 0.6505 | lr 2.00e-04
Epoch 176 | train 0.7391 | val 0.6538 | lr 2.00e-04
Epoch 177 | train 0.7401 | val 0.6492 | lr 2.00e-04
Epoch 178 | train 0.7385 | val 0.6487 | lr 2.00e-04
Epoch 179 | train 0.7383 | val 0.6517 | lr 2.00e-04
Epoch 180 | train 0.7403 | val 0.6509 | lr 2.00e-04
Epoch 181 | train 0.7389 | val 0.6487 | lr 2.00e-04
Epoch 182 | train 0.7382 | val 0.6527 | lr 2.00e-04
Epoch 183 | train 0.7397 | val 0.6559 | lr 2.00e-04
Epoch 184 | train 0.7387 | val 0.6573 | lr 2.00e-04
Epoch 185 | train 0.7370 | val 0.6550 | lr 2.00e-04
Epoch 186 | train 0.7367 | val 0.6482 | lr 2.00e-04
Epoch 187 | train 0.7376 | val 0.6521 | lr 2.00e-04
Epoch 188 | train 0.7376 | val 0.6536 | lr 2.00e-04
Epoch 189 | train 0.7385 | val 0.6470 | lr 2.00e-04
Epoch 190 | train 0.7390 | val 0.6545 | lr 2.00e-04
Epoch 191 | train 0.7376 | val 0.6509 | lr 2.00e-04
Epoch 192 | train 0.7377 | val 0.6474 | lr 2.00e-04
Epoch 193 | train 0.7361 | val 0.6512 | lr 2.00e-04
Epoch 194 | train 0.7394 | val 0.6533 | lr 2.00e-04
Epoch 195 | train 0.7373 | val 0.6448 | lr 2.00e-04
Epoch 196 | train 0.7380 | val 0.6464 | lr 2.00e-04
Epoch 197 | train 0.7360 | val 0.6441 | lr 2.00e-04
Epoch 198 | train 0.7365 | val 0.6460 | lr 2.00e-04
Epoch 199 | train 0.7385 | val 0.6541 | lr 2.00e-04
Epoch 200 | train 0.7371 | val 0.6473 | lr 2.00e-04
Epoch 201 | train 0.7351 | val 0.6485 | lr 2.00e-04
Epoch 202 | train 0.7359 | val 0.6495 | lr 2.00e-04
Epoch 203 | train 0.7349 | val 0.6518 | lr 2.00e-04
Epoch 204 | train 0.7358 | val 0.6478 | lr 2.00e-04
Epoch 205 | train 0.7356 | val 0.6474 | lr 2.00e-04
Epoch 206 | train 0.7327 | val 0.6436 | lr 2.00e-04
Epoch 207 | train 0.7359 | val 0.6429 | lr 2.00e-04
Epoch 208 | train 0.7372 | val 0.6508 | lr 2.00e-04
Epoch 209 | train 0.7353 | val 0.6533 | lr 2.00e-04
Epoch 210 | train 0.7349 | val 0.6444 | lr 2.00e-04
Epoch 211 | train 0.7351 | val 0.6474 | lr 2.00e-04
Epoch 212 | train 0.7341 | val 0.6466 | lr 2.00e-04
Epoch 213 | train 0.7350 | val 0.6485 | lr 2.00e-04
Epoch 214 | train 0.7345 | val 0.6451 | lr 2.00e-04
Epoch 215 | train 0.7346 | val 0.6488 | lr 2.00e-04
Epoch 216 | train 0.7330 | val 0.6470 | lr 2.00e-04
Epoch 217 | train 0.7341 | val 0.6505 | lr 2.00e-04
Epoch 218 | train 0.7338 | val 0.6475 | lr 1.00e-04
Epoch 219 | train 0.7282 | val 0.6369 | lr 1.00e-04
Epoch 220 | train 0.7230 | val 0.6442 | lr 1.00e-04
Epoch 221 | train 0.7244 | val 0.6399 | lr 1.00e-04
Epoch 222 | train 0.7232 | val 0.6379 | lr 1.00e-04
Epoch 223 | train 0.7246 | val 0.6349 | lr 1.00e-04
Epoch 224 | train 0.7227 | val 0.6402 | lr 1.00e-04
Epoch 225 | train 0.7211 | val 0.6345 | lr 1.00e-04
Epoch 226 | train 0.7224 | val 0.6386 | lr 1.00e-04
Epoch 227 | train 0.7217 | val 0.6371 | lr 1.00e-04
Epoch 228 | train 0.7211 | val 0.6332 | lr 1.00e-04
Epoch 229 | train 0.7217 | val 0.6385 | lr 1.00e-04
Epoch 230 | train 0.7224 | val 0.6377 | lr 1.00e-04
Epoch 231 | train 0.7214 | val 0.6371 | lr 1.00e-04
Epoch 232 | train 0.7223 | val 0.6416 | lr 1.00e-04
Epoch 233 | train 0.7220 | val 0.6358 | lr 1.00e-04
Epoch 234 | train 0.7217 | val 0.6364 | lr 1.00e-04
Epoch 235 | train 0.7214 | val 0.6338 | lr 1.00e-04
Epoch 236 | train 0.7204 | val 0.6328 | lr 1.00e-04
Epoch 237 | train 0.7211 | val 0.6351 | lr 1.00e-04
Epoch 238 | train 0.7218 | val 0.6414 | lr 1.00e-04
Epoch 239 | train 0.7205 | val 0.6357 | lr 1.00e-04
Epoch 240 | train 0.7206 | val 0.6360 | lr 1.00e-04
Epoch 241 | train 0.7211 | val 0.6340 | lr 1.00e-04
Epoch 242 | train 0.7208 | val 0.6327 | lr 1.00e-04
Epoch 243 | train 0.7210 | val 0.6365 | lr 1.00e-04
Epoch 244 | train 0.7212 | val 0.6320 | lr 1.00e-04
Epoch 245 | train 0.7200 | val 0.6346 | lr 1.00e-04
Epoch 246 | train 0.7209 | val 0.6322 | lr 1.00e-04
Epoch 247 | train 0.7194 | val 0.6345 | lr 1.00e-04
Epoch 248 | train 0.7201 | val 0.6363 | lr 1.00e-04
Epoch 249 | train 0.7188 | val 0.6348 | lr 1.00e-04
Epoch 250 | train 0.7179 | val 0.6345 | lr 1.00e-04
Epoch 251 | train 0.7195 | val 0.6318 | lr 1.00e-04
Epoch 252 | train 0.7199 | val 0.6339 | lr 1.00e-04
Epoch 253 | train 0.7213 | val 0.6342 | lr 1.00e-04
Epoch 254 | train 0.7206 | val 0.6365 | lr 1.00e-04
Epoch 255 | train 0.7208 | val 0.6341 | lr 1.00e-04
Epoch 256 | train 0.7190 | val 0.6318 | lr 1.00e-04
Epoch 257 | train 0.7193 | val 0.6371 | lr 1.00e-04
Epoch 258 | train 0.7201 | val 0.6352 | lr 1.00e-04
Epoch 259 | train 0.7170 | val 0.6350 | lr 1.00e-04
Epoch 260 | train 0.7193 | val 0.6357 | lr 1.00e-04
Epoch 261 | train 0.7173 | val 0.6336 | lr 1.00e-04
Epoch 262 | train 0.7190 | val 0.6362 | lr 5.00e-05
Epoch 263 | train 0.7163 | val 0.6284 | lr 5.00e-05
Epoch 264 | train 0.7152 | val 0.6307 | lr 5.00e-05
Epoch 265 | train 0.7136 | val 0.6305 | lr 5.00e-05
Epoch 266 | train 0.7128 | val 0.6319 | lr 5.00e-05
Epoch 267 | train 0.7121 | val 0.6272 | lr 5.00e-05
Epoch 268 | train 0.7125 | val 0.6268 | lr 5.00e-05
Epoch 269 | train 0.7124 | val 0.6266 | lr 5.00e-05
Epoch 270 | train 0.7136 | val 0.6324 | lr 5.00e-05
Epoch 271 | train 0.7137 | val 0.6292 | lr 5.00e-05
Epoch 272 | train 0.7131 | val 0.6291 | lr 5.00e-05
Epoch 273 | train 0.7123 | val 0.6260 | lr 5.00e-05
Epoch 274 | train 0.7138 | val 0.6292 | lr 5.00e-05
Epoch 275 | train 0.7125 | val 0.6287 | lr 5.00e-05
Epoch 276 | train 0.7114 | val 0.6298 | lr 5.00e-05
Epoch 277 | train 0.7119 | val 0.6290 | lr 5.00e-05
Epoch 278 | train 0.7117 | val 0.6288 | lr 5.00e-05
Epoch 279 | train 0.7130 | val 0.6299 | lr 5.00e-05
Epoch 280 | train 0.7109 | val 0.6285 | lr 5.00e-05
Epoch 281 | train 0.7119 | val 0.6290 | lr 5.00e-05
Epoch 282 | train 0.7126 | val 0.6301 | lr 5.00e-05
Epoch 283 | train 0.7113 | val 0.6322 | lr 5.00e-05
Epoch 284 | train 0.7122 | val 0.6274 | lr 2.50e-05
Epoch 285 | train 0.7095 | val 0.6309 | lr 2.50e-05
Epoch 286 | train 0.7085 | val 0.6240 | lr 2.50e-05
Epoch 287 | train 0.7109 | val 0.6235 | lr 2.50e-05
Epoch 288 | train 0.7100 | val 0.6271 | lr 2.50e-05
Epoch 289 | train 0.7088 | val 0.6291 | lr 2.50e-05
Epoch 290 | train 0.7081 | val 0.6298 | lr 2.50e-05
Epoch 291 | train 0.7081 | val 0.6268 | lr 2.50e-05
Epoch 292 | train 0.7072 | val 0.6314 | lr 2.50e-05
Epoch 293 | train 0.7088 | val 0.6279 | lr 2.50e-05
Epoch 294 | train 0.7083 | val 0.6240 | lr 2.50e-05
Epoch 295 | train 0.7083 | val 0.6242 | lr 2.50e-05
Epoch 296 | train 0.7068 | val 0.6300 | lr 2.50e-05
Epoch 297 | train 0.7065 | val 0.6265 | lr 2.50e-05
Epoch 298 | train 0.7091 | val 0.6234 | lr 2.50e-05
Epoch 299 | train 0.7069 | val 0.6256 | lr 2.50e-05
Epoch 300 | train 0.7079 | val 0.6236 | lr 2.50e-05
Train | log-space MSE: 0.5959
Val | log-space MSE: 0.6234
Test | log-space MSE: 0.6222
Isoform correlation: mean Pearson 0.5692 over 161990/161990 isoforms
Saved isoform correlation boxplot to isoform_model_fcnn/isoform_correlation_boxplot_fcnn.png
Scatter correlation log1p (n=50000): 0.8297
Saved log-scale scatter to isoform_model_fcnn/pred_vs_true_scatter_log.png
Per-gene isoform rank correlation (Spearman over observations): mean of means 0.7702 | median of means 0.7904 over 899 genes
Saved per-gene mean rank correlation boxplot to isoform_model_fcnn/gene_rank_corr_mean_boxplot.png
Per-gene isoform rank correlation (Spearman over observations): mean of medians 0.8153 | median of medians 0.8308 over 899 genes
Saved per-gene median rank correlation boxplot to isoform_model_fcnn/gene_rank_corr_median_boxplot.png
